Dimensión,Métrica,Criterio,Resultado,Cumple
Técnica,ROC-AUC,≥ 0.66,0.673 (peor 0.646),✔
Técnica,PR-AUC / lift,≥ 0.20 y ≥ 1.8×,0.220 / 1.94×,✔
Técnica,Brier,≤ 0.095,0.0963 (BSS 0.044),✘
Técnica,Pendiente de calibración,"[0.85, 1.15]",1.05 (rango 0.78–1.44),✔
Técnica,Intercepto de calibración,"[−0.15, 0.15]",-0.031,✔
Técnica,ECE,≤ 0.02,0.0144,✔
Técnica,Latencia p95,"< 1,000 ms",79.5 ms,✔
Decisión,Beneficio neto (DCA),≥ referencias en 0.05–0.30,supera en 100% del rango,✔
Decisión,Costo esperado (base),< mín(referencias),"ahorro US$25,008 / 1,000 altas",✔
Decisión,Costo esperado (sensibilidad e),"< mín(referencias) para e ∈ {0.12, 0.18, 0.38}","16,016 / 25,008 / -8,829",✘
Decisión,Impacto proyectado,≥ 5%,3.8%,✘
Decisión,Tasa de Alto por bloque,≤ 15%,15.0%,✔
Decisión,Tiempo de respuesta,≥ 90% contactados ≤ 7 días,N/A (despliegue),—
Social,Razón FNR edad (≥70 vs <70),"[0.87, 1.15]",≥70: 1.12 [1.09–1.14],✔
Social,Razón FNR raza (vs Caucasian),"[0.87, 1.15], ≥100 reingresos",AfricanAmerican: 0.97; Desconocido: 1.15,✔
Social,Razón de selección (80%),≥ 0.80,0.38,✘
Social,Calibración por subgrupo,"pendiente [0.8, 1.2], |int.| ≤ 0.2",ver tabla de equidad,✔
Social,Cobertura,≥ 98%,100.0%,✔
Social,Incertidumbre Alta,≤ 15%,37.6%,✘
Social,Reingreso en categoría Bajo,< 8%,6.5%,✔
Social,Explicabilidad top-3,100%,100.0%,✔
Monitoreo,Reentrenamientos disparados (E4),informativo,1,—
Monitoreo,Variables con PSI > 0.25 (vs B1),informativo,"admission_type_grp, num_lab_procedures, number_diagnoses_capped",—
